'BP','Bayernpartei'
'NPD','Nationaldemokratische Partei Deutschlands'
'PDV','Partei der Vernunft'
'MENSCHLICHE WELT','Menschliche Welt'
'Gesundheitsforschung','Partei für Gesundheitsforschung'
'AfD','Alternative für Deutschland'
'FREIE WÄHLER','FREIE WÄHLER'
'V-Partei³','V-Partei³ - Partei für Veränderung, Vegetarier und Veganer'
'CSU','Christlich-Soziale Union in Bayern e.V.'
'Tierschutzallianz','Allianz für Menschenrechte, Tier- und Naturschutz'
'MLPD','Marxistisch-Leninistische Partei Deutschlands'
'Die PARTEI','Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative'
'ÖDP','Ökologisch-Demokratische Partei'
'DKP','Deutsche Kommunistische Partei'
'DIE LINKE','DIE LINKE'
'DIE RECHTE','DIE RECHTE'
'FDP','Freie Demokratische Partei'
'BüSo','Bürgerrechtsbewegung Solidarität'
'Die Grauen','Die Grauen – Für alle Generationen'
'Volksabstimmung','Ab jetzt...Demokratie durch Volksabstimmung'
'SPD','Sozialdemokratische Partei Deutschlands'
'GRÜNE','BÜNDNIS 90/DIE GRÜNEN'
'SGP','Sozialistische Gleichheitspartei, Vierte Internationale'
'du.','Die Urbane. Eine HipHop Partei'
'PIRATEN','Piratenpartei Deutschland'
'Tierschutzpartei','PARTEI MENSCH UMWELT TIERSCHUTZ'
'CDU','Christlich Demokratische Union Deutschlands'
